job_id,industry_id
4422905583,11
4413568030,14
4413444489,96
4422901619,3242
4247436602,57
4229838947,57
4422919549,7
4424090360,3231
4321321512,1810
4423238929,17
4423911342,48
4422901629,96
4424096020,118
4422908560,4
4410359553,147
4422361552,1862
4424080685,104
4419694615,132
4404840588,48
4404840588,51
4404840588,50
4394497549,57
4229838969,57
4424083336,96
4422911486,19
4422914392,11
4424091417,4
4410366541,147
4422917286,7
4422917286,4
4422917286,3
4424080666,3128
4229843297,57
4343614443,8
4424076645,4
4424090448,96
4424081610,4
4413449645,43
4424074732,1594
4238256426,57
4422918406,96
4229840655,57
4290112381,96
4419675953,44
4419683748,51
4382934341,118
4382934341,4
4401907797,96
4413438849,43
4415272542,6
4424080622,11
4422353987,1594
4419684866,86
4332987455,41
4413437875,43
4403658357,4
4401615595,96
4424082556,4
4419688620,80
4392900556,147
4413428952,43
4422911553,132
4422911553,96
4424090456,84
4424090456,6
4422900683,135
4422900683,55
4422921454,6
4410196236,96
4246628172,57
4403624559,84
4403624559,6
4410180444,96
4422908456,7
4422908456,4
4422908456,3
4413443839,43
4393296030,24
4229844285,57
4424081639,3231
4424084520,91
4419691606,96
4422901374,11
4248239767,57
4424095117,4
4229839899,57
4422919380,132
4422919380,96
4415347810,96
4424071941,47
4424091303,109
4424078732,104
4424085465,143
4289633859,4
4289633859,96
4289633859,6
4424079593,3103
4424079593,3242
4424079593,118
4422913449,11
4381845074,7
4424097054,96
4419698058,96
4419698058,84
4419698058,1594
4419697181,104
4419697181,7
4229843300,57
4413440739,41
4393848607,57
4422905586,12
4424088392,3242
4424088392,96
4424080740,96
4422905510,7
4422905510,4
4422905510,3
4381874910,1810
4413432941,43
4419697239,96
4419697239,1594
4419697239,1445
4422916415,2458
4422916415,48
4383474918,41
4413415461,6
4388370986,44
4413443724,41
4423865729,17
4424072992,4
4424088509,1862
4424072892,6
4413442825,43
4424075758,4
4422921333,96
4422921333,3102
4422921333,4
4323688452,7
4419698182,96
4410167811,96
4424094236,6
4424078693,4
4424090347,6
4373914724,41
